
Random ID,Duration (in seconds),"Please enter the code you received at the end of the game. Please ensure the code you enter here matches the code given to you by the game, if the codes do not match you will be unable to receive payment.",Select the choice that is second to the furthest right.,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,Select the choice that is all the way left.,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",I am optimistic towards artificial intelligence.,I am experienced working with artificial intelligence.,I have a positive relationship with technology.,Select the middle answer choice.,I would prefer working with a human rather than an AI.,I felt my teammate and I had a shared understanding of our teamwork.,I tried to cooperate with my teammate during the task.,My team member was cooperative during the task.,My teammate and I were cooperative during the task.,You must select the answer choice that states somewhat agree.,My teammate and I worked effectively during the task.,My teammate and I worked together better at the end of the task than at the beginning.,I am satisfied with my performance.,I am satisfied with my teammate's performance.,I would work with my teammate on another task.,I felt I was the leader during our collaboration.,I trust my teammate in acting in our mutual best interest.,I reacted aggressively towards my teammate.,My teammate reacted aggressively towards me.,I would like to be able to communicate with my teammate.,Our performance would benefit from?,What is your age?,What race are you?,What is your gender?,"Type the response ""human"".","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please state the highest degree you have received)"
9362,119,bmmcnbf,1,-2,-2,-2,1,-2,-2,-2,1,-1,1,0,-1,0,2,0,0,1,0,0,2,0,0,0,0,-2,0,1,More communication.,26-35,African American,Male,human,Some college
8266,151,yjnbgejh,1,1,-1,-1,-1,-2,1,-1,1,0,2,0,-1,0,1,1,1,1,1,2,-1,1,1,-1,1,-1,1,1,being peaceful and remain steady,18 - 25,Indian,Male,human,"Bachelor's degree (BA, BS)"
4655,147,ulaiszrq,1,0,0,0,2,-2,0,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,0,0,0,-1,-1,0,0,1,communication ,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
8884,263,ggqdqih,1,-2,-2,-2,2,-2,-2,-2,0,1,2,0,0,1,2,0,0,1,1,-2,2,-1,0,1,0,-2,1,-1,from the peace that we maintained during game task,18 - 25,Indian,Male,human,Some college
9092,166,aaofane,0,1,0,1,0,0,1,0,1,2,0,0,1,2,1,0,-1,1,1,0,1,2,1,0,-1,1,1,0,good,36 - 45,Indian,Male,human,"Bachelor's degree (BA, BS)"
7557,250,4,-1,1,1,2,1,1,2,0,2,0,2,0,2,2,0,1,2,0,2,-1,0,2,2,0,1,0,2,1,good,56 - 65,African American,Female,human,"Masters degree (MA, MS, MEd)"
6212,193,gyaermwx,1,0,-1,0,-1,-2,0,-2,0,-2,0,0,2,-1,0,-1,-1,1,0,1,0,0,-1,-2,0,1,1,-1,more cooperation,46 - 55,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
8582,411,qhauppg,0,-1,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,0,0,1,1,1,-1,-1,0,1,1,0,-1,communication,26-35,Caucasian,Male,human,Associates degree (AA)
9955,402,pcofbah,1,0,-1,0,0,-2,0,0,1,-2,-1,0,2,0,1,0,1,1,1,0,0,1,1,-1,1,-1,-1,1,continued cooperation,56 - 65,Caucasian,Female,human,High school diploma (GED)
5416,583,gadxzqh,1,-1,-1,-1,0,-2,-1,-2,2,1,1,0,1,0,1,1,1,1,1,2,1,1,1,0,1,-1,-1,-1,a chat box.,56 - 65,Caucasian,Male,human,High school diploma (GED)
3639,657,dboizxwi,1,1,1,-1,1,-2,0,1,-1,1,-1,0,-1,-1,1,0,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,teammate,18 - 25,Indian,Male,human,"Bachelor's degree (BA, BS)"
6421,106,fphrcgo,0,1,2,1,0,2,0,2,1,2,1,2,1,1,0,2,0,2,1,0,1,2,1,2,1,2,1,2,goods skill,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
2851,111,psmsdy,1,1,1,1,-1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,-2,1,1,1,1,nice,18 - 25,Asian,Male,human,"Bachelor's degree (BA, BS)"
4550,135,lloutof,2,-2,-2,-1,2,-2,-1,-2,1,-1,1,0,0,-1,-2,-2,-2,1,0,2,2,1,2,0,-2,2,2,-2,Nothing that I'm aware of at the moment. ,18 - 25,Indian,Female,human,Some college
8544,119,zrnvkqa,1,0,-2,0,0,-2,0,0,0,0,1,0,0,-1,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,"The game seemed to be broken.  I was choosing Peaceful, and then often the outcome was that I got +1 and the opponent got -1 which is not the correct payout.  So... yeah",26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
2341,134,mhbzndmf,1,-2,-2,-2,1,-2,-2,-2,2,-2,2,0,2,0,2,-1,-1,1,0,-1,2,-1,-1,1,-2,-2,1,-2,communication,36 - 45,Caucasian,Male,human,High school diploma (GED)
3701,164,yvjxdm,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,good,18 - 25,Asian,Male,human,"Bachelor's degree (BA, BS)"
4228,134,kthfnxef,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,nice,18 - 25,Asian,Female,human,"Bachelor's degree (BA, BS)"
4564,267,zdltuaep,1,1,0,1,2,-2,0,1,1,2,1,0,2,1,2,1,0,1,2,1,2,2,1,1,2,1,2,1,good game,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
6193,384,xpmvc,1,0,0,0,-1,-2,-1,0,0,1,1,0,0,-1,1,0,0,1,0,2,-1,1,1,-1,1,1,0,1,our performance would benefit from our decisions to keep peace.,26-35,Indian,Female,human,"Bachelor's degree (BA, BS)"
7331,305,efeymtoj,1,-2,-2,-2,1,-2,-2,-2,2,-2,2,0,2,-2,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-2,communication,36 - 45,Caucasian,Male,human,High school diploma (GED)
9138,79,coefwpep,2,-2,-2,0,0,-2,0,-2,2,1,1,0,-1,0,2,1,1,1,1,0,1,1,1,0,0,-2,-2,0,unsure,36 - 45,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
7398,69,fphxqgnj,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,good,18 - 25,Asian,Male,human,"Bachelor's degree (BA, BS)"
3359,109,ltwzffqp,1,0,-2,0,1,-2,0,-1,-1,-1,1,0,1,1,2,2,1,1,2,0,1,2,2,0,1,-1,-2,1,Open communication,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
3067,130,pjpthop,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,nice,18 - 25,Asian,Male,human,"Bachelor's degree (BA, BS)"
5294,96,rlgfccpl,1,-1,-2,-1,1,-2,-1,-2,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,A mutual understanding of goals and objectives.,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
1560,150,gjyjozhh,2,-2,-2,-2,-1,-2,-2,0,-2,-2,1,0,2,-1,1,2,1,1,1,2,-2,0,1,-2,2,1,-2,2,Slightly clearer instructions and the abilitly to communicate with my AI partner to determine their goals,26-35,Caucasian,Female,human,"Masters degree (MA, MS, MEd)"
7176,196,jnbpwthi,1,0,0,1,1,0,2,1,1,2,1,0,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,1,"YES, I LIKE IT, I HAVE ENJOY THIS GAME.THANKING YOU.",18 - 25,Asian,Male,"""human""","Bachelor's degree (BA, BS)"
3477,157,dlwsphof,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,nice,18 - 25,Asian,Male,human,"Doctorate degree (PhD, EdD)"
3807,178,yqzyzokp,1,-2,-2,-2,2,-2,1,2,2,-1,2,0,-2,2,2,2,2,1,2,-2,2,2,2,2,2,-2,-2,-2,There were a ton of error messages. Maybe you designed it that way???,36 - 45,Caucasian,Male,human,Associates degree (AA)
7998,1905,soelgqj,1,1,0,1,1,-2,0,-2,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,-2,-2,-1,team play,36 - 45,Indian,Male,human,"Bachelor's degree (BA, BS)"
7164,324,lbqnow,1,0,2,-2,0,-2,1,-2,2,1,2,0,1,2,2,2,2,1,2,2,1,2,1,0,1,-2,-2,1,Being peace,26-35,Indian,Male,human,"Masters degree (MA, MS, MEd)"
4431,671,ajknphzs ,2,0,-1,0,1,-2,0,-1,2,0,1,0,0,1,2,1,1,0,1,1,1,0,1,2,0,-1,0,1,It would benefit from greater trust and a closer colloboration for mutal benefit.,26-35,Asian,Female,human,"Bachelor's degree (BA, BS)"
4162,378,456789,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,some what not easy ,26-35,Indian,Female,human,"Bachelor's degree (BA, BS)"
6967,381,801293,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,-1,it is some what difficult to do ,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
5235,3450,kikwzgbl,-1,0,1,-1,1,-2,0,-1,1,1,2,0,1,1,2,1,2,1,2,1,2,0,1,1,2,0,-1,-1,IT IS BENEFIT FOR US TO TAKE THE SURVEY IT IS SOMEWHAT EASY TO DO ,36 - 45,Indian,Male,human,"Bachelor's degree (BA, BS)"
1162,99,vfcrnkmn,1,0,-2,0,1,-2,1,-1,1,-1,1,0,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,Paying more,18 - 25,Caucasian,Female,human,Some college
2636,490,xutwfkwv,0,-2,-2,-1,2,-2,-1,-1,1,1,2,0,2,1,1,1,1,1,1,1,2,2,1,-1,1,-1,-1,-1,understanding,18 - 25,Asian,Male,human,"Bachelor's degree (BA, BS)"
6490,104,oapdfxxd,1,1,0,-2,1,-2,0,-2,2,1,2,0,2,2,2,1,0,1,1,2,1,1,1,2,1,-2,-2,2,Team work ,26-35,Indian,Male,human,"Masters degree (MA, MS, MEd)"
8467,106,dowrahvl,1,0,1,1,2,1,2,1,1,2,1,2,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,GOOD,26-35,Indian,Male,HUMAN,"Bachelor's degree (BA, BS)"
1718,82,psdrl,1,1,0,-2,2,-2,1,-2,2,2,2,0,2,1,2,1,2,1,1,2,1,2,1,2,2,-2,-2,2,Peace fullness ,26-35,Indian,Male,human,"Masters degree (MA, MS, MEd)"
9143,195,fdqu,2,-1,-2,-2,-1,-2,-1,1,0,1,2,0,0,-2,-1,0,-1,1,-1,1,-2,0,0,-1,-1,2,-2,1,"the rules of the game changing, it didnt seem possible to win",26-35,African American,Male,human,Associates degree (AA)
8030,267,lawvzzfz,-1,0,1,-2,-1,0,-1,0,0,-1,1,0,0,-1,2,-1,0,-1,1,-1,1,-1,1,0,-2,2,0,1,Good,26-35,African American,Female,human,Some college
9791,600,rkwbhb,2,1,1,0,1,-2,-1,-2,2,1,2,0,2,1,2,1,1,1,2,2,2,1,2,1,2,-1,-1,2,Team work,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
4901,88,twyyjlmw,1,-1,-2,-1,2,-2,-1,-2,1,1,1,0,-1,-1,-2,0,0,1,0,1,2,0,2,0,-1,0,0,-1,Nothing,18 - 25,Caucasian,Male,human,Some college
9739,107,sxpnloxg,1,-2,-2,0,-2,-2,-2,-2,1,-1,1,0,0,-2,0,-1,-1,1,-2,-2,-2,-2,-2,-2,-2,1,1,0,Less attention checks.,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
2009,136,oazcuwgo,0,1,2,1,0,2,0,1,1,0,2,0,2,1,2,0,0,2,2,1,0,1,0,2,1,2,1,1,good,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
8914,266,iowlrer,0,1,1,1,0,-1,0,-1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,-1,1,0,-1,1,KNOWLEDGE,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
1862,176,rdndquq,2,-1,-2,-1,2,-2,-1,-2,1,1,2,0,2,-2,2,-1,-1,1,-1,1,2,-1,-1,1,-1,-2,1,-1,being more specific ... and more peaceful,56 - 65,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
3522,871,imsrmmdv,2,1,1,0,1,2,1,0,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,"Improved organizational performance, employee retention and loyalty, improved productivity, overcoming the barriers to communication, clear accountabilities, and cost advantages. Saves time and reduces conflicts, ensures efficiency and consistency in performance.",18 - 25,Caucasian,Female,human,"Masters degree (MA, MS, MEd)"
1302,296,ldlbol,1,-2,-2,-1,-2,-2,0,1,1,-1,2,0,1,1,1,1,1,1,-2,-2,-2,-2,-1,-1,-1,-2,-1,1,Better understanding of the game and more practice.,56 - 65,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
6702,323,qvzcdanm,0,1,1,0,1,0,1,0,1,0,1,0,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,yes,18 - 25,Indian,Male,male,"Bachelor's degree (BA, BS)"
8940,508,jljlmiar,1,1,1,0,1,-2,2,-1,0,2,1,0,0,1,-1,-1,0,1,1,0,2,2,0,1,0,-1,-1,1,good,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
1356,97,yvqqphnj,1,-2,-2,0,0,-2,0,0,1,-1,1,0,1,0,0,0,1,1,1,-1,1,1,0,2,0,-1,-1,0,a different game...this one wasn't engaging,26-35,Caucasian,Female,human,"Masters degree (MA, MS, MEd)"
6044,121,wsmthtev,1,-1,-2,-2,-2,-2,-2,2,1,0,1,0,1,-1,-1,-1,-1,1,-1,-1,-2,-2,-2,-2,-2,0,1,2,communication,56 - 65,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
5992,214,blydgagv,1,1,0,0,1,-2,1,-1,0,-1,1,0,2,1,1,0,0,1,1,0,-1,-1,0,0,1,-1,-2,2,Teamwork,26-35,Other,Male,human,Associates degree (AA)
4596,305,siaqkcre,2,1,1,2,2,-2,1,-2,1,2,2,0,2,1,2,1,2,1,2,2,1,1,2,1,2,-1,-1,2,cooperative during the task,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
1272,115,kulnptnz,1,2,2,-2,2,-1,-1,-2,2,1,2,0,1,1,2,1,2,1,0,1,2,1,1,2,1,0,1,2,game theory,26-35,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
5290,390,fhtolvb,1,1,-1,-2,1,-2,0,-1,1,2,1,0,1,1,2,1,0,1,0,2,1,0,1,1,0,2,1,0,Would benefit from not getting lose.,26-35,Other,Male,human,"Bachelor's degree (BA, BS)"
9997,170,tuvdy,1,0,-1,1,1,-2,1,1,-1,-2,-2,0,2,1,-1,-1,1,1,-1,0,-1,0,-1,-1,0,-1,1,0,collaboration,26-35,Indian,Male,human,"Bachelor's degree (BA, BS)"
3063,123,gqgtvtsg,1,2,2,1,1,-2,1,2,2,1,1,0,1,2,1,1,1,0,1,2,1,0,1,1,2,0,1,2,sure ,36 - 45,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
4305,88,frxzddqt,2,-1,-2,-2,-2,-2,0,0,-1,-1,0,0,1,0,0,0,0,1,0,-1,-1,0,-1,-1,-1,1,0,0,More thorough instructions,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
7300,671,udghioof,0,-2,-1,-2,-1,-1,-2,1,-1,0,-1,0,1,-1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,good,36 - 45,Other,Female,human,"Professional degree (MD, DDS, DVM)"
7791,121,ycsgcyqo,1,-2,-2,-2,2,-2,-2,-2,0,0,2,0,-1,0,-1,1,1,1,1,-1,1,2,1,-2,1,-2,-2,-2,More feedback,18 - 25,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
6098,351,qfutbqyw,2,-1,-2,-2,2,-2,-1,-1,1,-1,1,0,2,2,2,2,2,1,2,2,2,2,2,1,2,-2,-2,2,Teamwork,36 - 45,African American,Male,human,Some college
6624,125,oskzx,2,-2,-2,-2,2,-2,-2,-1,1,2,1,0,0,0,-1,-1,-1,1,0,-2,2,0,1,2,-1,-1,-2,2,Being able to communicate.,26-35,African American,Male,human,Some college
4743,117,bauvllr,1,-1,-2,-2,2,-2,-1,0,-1,-2,0,0,2,-2,0,-2,-2,1,-2,-2,2,-2,0,-2,-2,1,0,-2,Cooperating,26-35,Caucasian,Female,human,High school diploma (GED)
7365,116,zxhfiy,2,-2,-2,-2,2,-2,-2,-2,0,-1,1,0,0,-1,0,1,1,1,0,-1,1,0,0,0,0,-2,-2,0,Nothing. I always selected the peaceful option but somehow the AI lost points and I gained them anyway.,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
7770,234,kjvlxetc,2,-1,-2,-2,1,-2,0,2,-1,-1,1,0,-1,1,1,-1,-1,1,0,2,1,1,-1,1,-1,1,-1,-1,I dont know,26-35,Caucasian,Female,human,Some college
9064,135,bbzdkavc,2,0,-1,-1,1,-2,0,-2,1,0,2,0,0,-2,1,-2,-2,1,0,0,2,0,0,-2,-2,-1,0,2,Communication,36 - 45,Asian,Male,human,"Bachelor's degree (BA, BS)"
4073,111,iyctkhud,2,-1,-2,-2,0,-2,-2,-2,1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,0,I think it was fine.,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
5847,138,lgopgxqc,1,-1,-1,-1,-2,-2,-1,2,-1,-1,0,0,1,-1,-1,-1,1,1,0,-1,-2,-1,-1,2,-1,1,-1,-1,nothing,18 - 25,Caucasian,Male,human,High school diploma (GED)
5451,257,tmmfxk,1,-2,-2,-2,2,-2,-2,-2,1,-2,2,0,0,1,1,1,1,1,1,2,2,2,2,2,1,-2,0,1,collaboration and cooperation,56 - 65,Caucasian,Female,human,Some college
4892,196,kojlsaus,-1,1,1,0,1,1,0,1,1,2,1,0,2,1,2,1,2,1,0,2,1,2,1,2,1,1,2,1,yes,18 - 25,Indian,Male,man,"Bachelor's degree (BA, BS)"
5330,282,hlpqezen,1,0,0,1,0,-2,0,-1,1,0,1,0,1,1,0,2,1,1,0,2,1,1,0,1,1,0,2,1,knowledgeable,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
9753,229,ludotwxp,1,-2,-2,-2,1,-2,-2,-2,1,-2,0,0,0,-1,2,0,1,1,1,-2,1,1,0,0,0,-1,-1,0,I'm not sure. I didn't feel like my opponent was doing anything differently throughout the entire game. ,46 - 55,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
2285,91,fuxlyiv,1,-2,-2,-2,2,-2,-2,-2,1,1,2,0,1,2,2,2,2,1,2,2,2,2,2,0,2,-2,-2,0,Being peaceful towards one another.,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
6664,398,jetkme,1,1,0,1,2,1,1,0,2,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,2,1,1,2,faster times,36 - 45,Caucasian,Female,human,Associates degree (AA)
6785,171,pcutmwjo,1,0,1,0,1,-2,1,0,0,1,0,0,1,1,0,1,1,1,0,2,1,1,0,1,1,0,2,1,very useful,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
8503,209,khmnpxag,1,-1,-2,-1,2,-2,-1,-2,0,-2,0,0,2,0,0,1,1,1,1,2,2,2,1,2,0,1,1,0,I have no idea!!!!!,56 - 65,Caucasian,Female,human,Some college
8463,120,wbdu,1,1,1,-1,0,-2,0,1,1,-1,1,0,2,1,1,1,1,1,0,1,2,1,1,-2,0,-1,1,1,I do not get the question.,36 - 45,Caucasian,Female,human,Some college
3121,143,gomjxmgu,1,2,0,0,1,-2,-1,1,2,1,2,0,1,2,1,0,2,1,2,1,0,2,0,1,0,2,1,1,good,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
1691,178,tttwfd,1,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,0,2,-1,2,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-2,1,-1,cooperating with each other,46 - 55,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
7381,142,prjavpdl,2,2,1,2,2,-2,2,1,2,1,2,0,2,1,2,0,1,1,2,0,1,0,2,1,2,1,2,0,AI,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
9526,115,bbiu,1,0,0,0,1,-2,0,-1,1,0,2,0,-1,1,1,1,1,1,2,2,2,2,2,1,1,2,-1,-1,uncertain,56 - 65,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
7570,122,tnzcbr,2,0,-2,-2,0,-2,-1,0,0,1,1,0,1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,1,not sure ... collaboration maybe? ,56 - 65,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
2143,554,vyfgot,1,0,0,0,1,-2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,2,0,-2,0,AI and team work,18 - 25,African American,Male,human,"Bachelor's degree (BA, BS)"
